Modelo,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.7458730529429666,0.5142106619826055,0.8020401141202278,0.6266114578310867,0.8462609886504847
Gradient Boosting,0.8031838369623131,0.6652777269239796,0.5232727846195753,0.5856379125590314,0.8458084742816492
Random Forest,0.773888735554093,0.5658351745377409,0.6436724921506503,0.6021018912584625,0.827146211060924
