Cenario,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Threshold padrao 0.50,0.7938877043354655,0.6372549019607843,0.5213903743315508,0.5735294117647058,0.839915152895621
Threshold ajustado 0.217,0.7178393745557925,0.4823348694316436,0.839572192513369,0.6126829268292683,0.839915152895621
