Modelo,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Gradient Boosting,0.7945984363894811,0.6640926640926641,0.45989304812834225,0.5434439178515008,0.8368233326948662
Logistic Regression,0.7583511016346838,0.5319548872180451,0.7566844919786097,0.6247240618101545,0.8345856779744372
Random Forest,0.7782515991471215,0.582010582010582,0.5882352941176471,0.5851063829787234,0.8199639179794069
